Model,Base Price,Dest. Charge,Tax Credit,Effective Price,Drive,Battery,EPA,0-60,Top
"2022 Porsche Taycan GTS Sport Turismo 20""","$133,300","+$1,350","$7,500","$127,150",AWD,93.4, ,3.5,155 mph
"2022 Porsche Taycan Turbo Cross Turismo 20""","$153,500","+$1,350","$7,500","$147,350",AWD,93.4,204 mi,3.1,155 mph
"2022 Porsche Taycan Turbo S Cross Turismo 20""","$187,600","+$1,350","$7,500","$181,450",AWD,93.4,202 mi,2.7,155 mph
"2022 Rivian R1S (Large pack, 21"")","$70,000","+$1,075","$7,500","$63,575",AWD,135*,316 mi,3.0,125 mph
"2022 Rivian R1T (Large pack, 21"")","$67,500","+$1,075","$7,500","$61,075",AWD,135*,314 mi,3.0,125 mph
"2022 Tesla Model 3 RWD 18""","$44,990","+$1,200",N/A,"$46,190",RWD,60*,272 mi,5.8,140 mph
"2022 Tesla Model 3 RWD 19""","$46,490","+$1,200",N/A,"$47,690",RWD,60*,267 mi*,5.8,140 mph
"2022 Tesla Model 3 Long Range AWD 18""","$50,990","+$1,200",N/A,"$52,190",AWD,80*,358 mi,4.2,145 mph
"2022 Tesla Model 3 Long Range AWD 19""","$52,490","+$1,200",N/A,"$53,690",AWD,80*,334 mi*,4.2,145 mph
"2022 Tesla Model 3 Perf. LR AWD 20""","$58,990","+$1,200",N/A,"$60,190",AWD,80*,315 mi,3.1,162 mph
"2022 Tesla Model S LR AWD 19""","$94,990","+$1,200",N/A,"$96,190",AWD,100*,405 mi,3.1,155 mph
"2022 Tesla Model S LR AWD 21""","$99,490","+$1,200",N/A,"$100,690",AWD,100*,375 mi*,3.1,155 mph
"2022 Tesla Model S Plaid 19""","$129,990","+$1,200",N/A,"$131,190",AWD,100*,396 mi,1.99*,200 mph
"2022 Tesla Model S Plaid 21""","$134,490","+$1,200",N/A,"$135,690",AWD,100*,348 mi,1.99*,200 mph
"2022 Tesla Model X LR AWD 20""","$104,990","+$1,200",N/A,"$106,190",AWD,100*,348 mi,3.8,155 mph
"2022 Tesla Model X LR AWD 22""","$110,490","+$1,200",N/A,"$111,690",AWD,100*,332 mi*,3.8,155 mph
"2022 Tesla Model X Plaid 20""","$126,490","+$1,200",N/A,"$127,690",AWD,100*,333 mi,2.5,163 mph
"2022 Tesla Model X Plaid 22""","$131,990","+$1,200",N/A,"$133,190",AWD,100*,311 mi,2.5,163 mph
"2022 Tesla Model Y Long Range AWD 19""","$58,990","+$1,200",N/A,"$60,190",AWD,80*,330 mi,4.8,135 mph
"2022 Tesla Model Y Long Range AWD 20""","$60,990","+$1,200",N/A,"$62,190",AWD,80*,318 mi*,4.8,135 mph
"2022 Tesla Model Y Perf. LR AWD 21""","$63,990","+$1,200",N/A,"$65,190",AWD,80*,303 mi,3.5,155 mph
2022 Volvo C40 Recharge,"$58,750","+$1,095","$7,500","$52,345",AWD,78,226 mi,4.7,112 mph
2022 Volvo XC40 Recharge,"$55,300","+$1,095","$7,500","$48,895",AWD,78,223 mi,4.7,112 mph
"2022 Volkswagen ID.4 Pro 19""","$40,760","+$1,195","$7,500","$34,455",RWD,82,260 mi*,7.7,99 mph
"2022 Volkswagen ID.4 Pro S 19""","$45,260","+$1,195","$7,500","$38,955",RWD,82,250 mi*,7.8,99 mph
"2022 Volkswagen ID.4 AWD Pro 19""","$44,440","+$1,195","$7,500","$38,135",AWD,82,249 mi*,5.7,111 mph
